index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format
0,1975.0,beowulf,"unknown, seamus heaney",en-us,,3.42,155903,genre fiction,34160.0,20496.0,4.88,1,harpercollins publishers,7000,,,,
1,1987.0,batman: year one,"frank miller, david mazzucchelli, richmond lewis, dennis o'neil",eng,,4.23,145267,genre fiction,12437.5,7462.5,1.99,2,harpercollins publishers,6250,,,,
2,2015.0,go set a watchman,harper lee,eng,,3.31,138669,genre fiction,47795.0,28677.0,8.69,3,"amazon digital services,  inc.",5500,,,,
3,2008.0,when you are engulfed in flames,david sedaris,en-us,,4.04,150898,fiction,41250.0,24750.0,7.5,3,hachette book group,5500,,,,
4,2011.0,daughter of smoke & bone,laini taylor,eng,,4.04,198283,genre fiction,37952.5,22771.5,7.99,4,penguin group (usa) llc,4750,,,,
5,2015.0,red queen,victoria aveyard,eng,,4.08,83354,genre fiction,19960.0,0.0,4.99,5,"amazon digital services,  inc.",4000,,,,
6,2011.0,the power of habit,charles duhigg,eng,,4.03,155977,genre fiction,27491.67,16495.002,6.99,6,harpercollins publishers,3933,,,,
7,1994.0,midnight in the garden of good and evil,john berendt,eng,,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,hachette book group,3800,,,,
8,2012.0,hopeless,colleen hoover,eng,,4.34,189938,genre fiction,26093.67,15656.202,6.99,9,harpercollins publishers,3733,,,,
9,1905.0,a little princess,"frances hodgson burnett, nancy bond",eng,,4.2,199872,genre fiction,23792.34,14275.404,6.49,10,random house llc,3666,,,,
10,2004.0,the truth about forever,sarah dessen,en-us,,4.13,179415,genre fiction,17964.0,0.0,4.99,11,"amazon digital services,  inc.",3600,,,,
11,1954.0,the horse and his boy,c.s. lewis,eng,,3.9,189671,fiction,21564.0,12938.4,5.99,11,penguin group (usa) llc,3600,,,,
12,2010.0,last sacrifice,richelle mead,eng,,4.42,206792,genre fiction,3431.34,0.0,0.99,13,"amazon digital services,  inc.",3466,,,,
13,1935.0,little house on the prairie,"laura ingalls wilder, garth williams",eng,,4.18,195424,genre fiction,6897.34,4138.404,1.99,13,harpercollins publishers,3466,,,,
14,1922.0,the velveteen rabbit,"margery williams bianco, william   nicholson",eng,,4.29,173469,genre fiction,21797.82,13078.692,6.54,15,random house llc,3333,,,,
15,1974.0,zen and the art of motorcycle maintenance,robert m. pirsig,eng,,3.76,139411,genre fiction,16297.34,0.0,4.99,16,"amazon digital services,  inc.",3266,,,,
16,1897.0,the war of the worlds,"h.g. wells, arthur c. clarke",eng,,3.8,159752,genre fiction,15968.0,0.0,4.99,17,"amazon digital services,  inc.",3200,,,,
17,2006.0,pretty little liars,sara shepard,en-us,,3.9,156328,genre fiction,15968.0,0.0,4.99,17,"amazon digital services,  inc.",3200,,,,
18,1948.0,corduroy,don freeman,en-us,,4.28,160860,genre fiction,6234.67,3740.802,1.99,18,simon and schuster digital sales inc,3133,,,,
19,2006.0,the omnivore's dilemma,michael pollan,eng,,4.17,133271,genre fiction,3035.34,0.0,0.99,19,"amazon digital services,  inc.",3066,,,,
20,2013.0,life after life,kate atkinson,eng,,3.74,138454,genre fiction,11702.67,0.0,3.99,21,"amazon digital services,  inc.",2933,,,,
21,2000.0,the rescue,nicholas sparks,en-us,,4.1,142092,genre fiction,8569.34,0.0,2.99,22,"amazon digital services,  inc.",2866,,,,
22,1991.0,needful things,stephen king,unknown,,3.87,153821,genre fiction,2772.0,0.0,0.99,23,"amazon digital services,  inc.",2800,,,,
23,1993.0,voyager,diana gabaldon,eng,,4.38,157395,genre fiction,8171.67,0.0,2.99,24,"amazon digital services,  inc.",2733,,,,
24,1996.0,unknown,"kenneth branagh, william shakespeare",eng,,4.12,156869,genre fiction,2639.34,1583.604,0.99,25,"amazon digital services,  inc.",2666,,,,
25,1981.0,cujo,stephen king,spa,,3.65,158215,genre fiction,7774.0,0.0,2.99,26,"amazon digital services,  inc.",2600,,,,
26,1993.0,the virgin suicides,jeffrey eugenides,eng,,3.83,159249,genre fiction,26904.06,16142.436,10.91,28,penguin group (usa) llc,2466,,,,
27,2004.0,dead to the world,charlaine harris,eng,,4.13,199572,genre fiction,2376.0,0.0,0.99,29,"amazon digital services,  inc.",2400,,,,
28,1891.0,tess of the d'urbervilles: a pure woman faithfully presented,"thomas hardy, tim dolin, margaret r. higonnet",eng,,3.77,171599,nonfiction,9576.0,5745.6,3.99,29,hachette book group,2400,,,,
29,1856.0,madame bovary,"gustave flaubert, margaret mauldon, malcolm bowie, mark overstall",eng,,3.64,158877,genre fiction,9308.67,0.0,3.99,30,"amazon digital services,  inc.",2333,,,,
30,1961.0,the phantom tollbooth,"norton juster, jules feiffer",en-us,,4.22,178432,genre fiction,4509.34,0.0,1.99,31,"amazon digital services,  inc.",2266,,,,
31,2010.0,the way of kings,brandon sanderson,eng,,4.64,144822,genre fiction,2178.0,0.0,0.99,32,"amazon digital services,  inc.",2200,,,,
32,2003.0,club dead,charlaine harris,en-gb,,4.03,181323,genre fiction,13178.0,7906.8,5.99,32,harpercollins publishers,2200,,,,
33,2006.0,it's kind of a funny story,ned vizzini,en-us,,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,harpercollins publishers,2066,,,,
34,2007.0,unknown,brandon sanderson,eng,,4.35,150736,genre fiction,17980.0,10788.0,8.99,35,random house llc,2000,,,,
35,2015.0,after you,jojo moyes,eng,,3.7,99342,genre fiction,1964.16,0.0,0.99,36,"amazon digital services,  inc.",1984,,,,
36,2011.0,the language of flowers,vanessa diffenbaugh,eng,,4.07,140076,genre fiction,1964.16,1178.496,0.99,36,"amazon digital services,  inc.",1984,,,,
37,1986.0,batman: the dark knight returns,"frank miller, klaus janson, lynn varley",eng,,4.25,135979,genre fiction,1949.31,0.0,0.99,37,"amazon digital services,  inc.",1969,,,,
38,2005.0,the angel experiment,james patterson,eng,,4.08,172302,genre fiction,1949.31,0.0,0.99,37,"amazon digital services,  inc.",1969,,,,
39,1995.0,high fidelity,nick hornby,eng,,3.94,134849,genre fiction,20309.55,12185.73,10.65,41,random house llc,1907,,,,
40,2003.0,the guardian,nicholas sparks,en-us,,4.14,136427,genre fiction,1873.08,0.0,0.99,42,"amazon digital services,  inc.",1892,,,,
41,2003.0,oryx and crake,margaret atwood,eng,,4.0,151500,genre fiction,7485.24,0.0,3.99,43,"amazon digital services,  inc.",1876,,,,
42,1998.0,"men are from mars, women are from venus book of days: 365 inspirations to enrich your relationships",john gray,en-us,,3.52,113915,genre fiction,3703.39,2222.034,1.99,44,"amazon digital services,  inc.",1861,,,,
43,2000.0,kitchen confidential: adventures in the culinary underbelly,anthony bourdain,eng,,4.0,134177,genre fiction,11057.54,6634.524,5.99,45,harpercollins publishers,1846,,,,
44,1999.0,timeline,michael crichton,en-us,,3.83,148563,genre fiction,12791.7,7675.02,6.99,46,"amazon digital services,  inc.",1830,,,,
45,1759.0,candide,voltaire,eng,,3.76,151471,genre fiction,8982.0,0.0,4.99,48,"amazon digital services,  inc.",1800,,,,
46,1975.0,tuck everlasting,natalie babbitt,eng,,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"amazon digital services,  inc.",1800,,,,
47,1983.0,christine,"stephen king, marie milpois",fre,,3.72,151160,nonfiction,1766.16,1059.696,0.99,49,"amazon digital services,  inc.",1784,,,,
48,1960.0,are you my mother?,p.d. eastman,eng,,4.16,174204,genre fiction,10596.31,6357.786,5.99,50,penguin group (usa) llc,1769,,,,
49,1950.0,the story of art,e.h. gombrich,en-us,,3.83,164708,genre fiction,15058.27,9034.962,8.59,51,hachette book group,1753,,,,
50,2013.0,scarlet,marissa meyer,eng,,4.3,193766,genre fiction,1720.62,1032.372,0.99,52,"amazon digital services,  inc.",1738,,,,
51,1997.0,"rich dad , poor dad",robert t. kiyosaki,eng,,3.95,153764,genre fiction,1705.77,1023.462,0.99,53,random house llc,1723,,,,
52,2011.0,silence,becca fitzpatrick,eng,,4.16,190722,genre fiction,8517.93,0.0,4.99,54,"amazon digital services,  inc.",1707,,,,
53,2009.0,the magicians,lev grossman,eng,,3.47,147908,genre fiction,1675.08,1005.048,0.99,55,macmillan,1692,,,,
55,2003.0,a great and terrible beauty,libba bray,eng,,3.79,173613,genre fiction,4966.39,2979.834,2.99,57,penguin group (usa) llc,1661,,,,
56,2002.0,everything is illuminated,jonathan safran foer,eng,,3.9,131492,genre fiction,1629.54,977.724,0.99,58,"amazon digital services,  inc.",1646,,,,
57,1986.0,the bourne supremacy,robert ludlum,en-us,,4.09,142168,genre fiction,17783.3,10669.98,10.91,59,penguin group (usa) llc,1630,,,,
58,2012.0,easy,tammara webber,en-ca,,4.11,133937,genre fiction,1613.7,0.0,0.99,59,"amazon digital services,  inc.",1630,,,,
59,1849.0,david copperfield,"charles dickens, jeremy tambling",eng,,3.96,150512,genre fiction,18394.85,11036.91,11.39,60,hachette book group,1615,,,,
60,2007.0,the absolutely true diary of a part-time indian,"sherman alexie, ellen forney",eng,,4.11,160607,genre fiction,10384.0,6230.4,6.49,61,random house llc,1600,,,,
62,1968.0,a wizard of earthsea,ursula k. le guin,en-us,,3.99,155042,genre fiction,4707.0,0.0,3.0,63,"amazon digital services,  inc.",1569,,,,
63,2000.0,because of winn-dixie,"kate dicamillo, chris sheban",eng,,4.0,154476,genre fiction,1522.62,0.0,0.99,65,"amazon digital services,  inc.",1538,,,,
64,1959.0,a separate peace,john knowles,en-us,,3.56,155901,genre fiction,5924.47,0.0,3.89,66,"amazon digital services,  inc.",1523,,,,
65,1995.0,the rainmaker,john grisham,eng,,3.91,137412,genre fiction,12040.93,0.0,7.99,67,"amazon digital services,  inc.",1507,,,,
67,1995.0,assassin's apprentice,robin hobb,eng,,4.14,132777,genre fiction,2907.39,0.0,1.99,70,"amazon digital services,  inc.",1461,,,,
68,1980.0,the restaurant at the end of the universe,douglas adams,eng,,4.22,153838,genre fiction,11553.54,6932.124,7.99,71,penguin group (usa) llc,1446,,,,
69,2010.0,torment,lauren kate,eng,,3.89,174393,genre fiction,5705.7,0.0,3.99,72,"amazon digital services,  inc.",1430,,,,
70,1901.0,the tale of peter rabbit,beatrix potter,eng,,4.17,162373,genre fiction,9890.85,5934.51,6.99,73,penguin group (usa) llc,1415,,,,
71,1953.0,the silver chair,"c.s. lewis, pauline baynes",eng,,3.95,170453,genre fiction,5245.36,3147.216,3.79,75,hachette book group,1384,,,,
72,2008.0,the hero of ages,brandon sanderson,eng,,4.46,143622,nonfiction,5826.64,3495.984,4.21,75,"amazon digital services,  inc.",1384,,,,
73,1993.0,"girl, interrupted",susanna kaysen,eng,,3.9,145161,genre fiction,2724.31,1634.586,1.99,76,hachette book group,1369,,,,
74,2007.0,"are you there, vodka? it's me, chelsea",chelsea handler,unknown,,3.85,127096,genre fiction,5462.31,3277.386,3.99,76,hachette book group,1369,,,,
75,1970.0,jonathan livingston seagull,"richard bach, russell munson",en-us,,3.8,133728,genre fiction,6751.47,0.0,4.99,77,"amazon digital services,  inc.",1353,,,,
76,2014.0,city of heavenly fire,cassandra clare,eng,,4.48,177796,genre fiction,6676.62,0.0,4.99,78,"amazon digital services,  inc.",1338,,,,
77,1986.0,love you forever,"robert munsch, sheila mcgraw",en-gb,,4.34,159703,genre fiction,1309.77,785.862,0.99,79,"amazon digital services,  inc.",1323,,,,
78,2006.0,cell,stephen king,en-us,,3.64,144591,genre fiction,5933.78,3560.268,4.54,80,harpercollins publishers,1307,,,,
79,2013.0,the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,daniel james brown,eng,,4.32,113565,genre fiction,8482.43,5089.458,6.49,80,hachette book group,1307,,,,
80,1977.0,the silmarillion,"j.r.r. tolkien, christopher tolkien, ted nasmith",eng,,3.87,134106,genre fiction,6447.08,3868.248,4.99,81,random house llc,1292,,,,
81,1987.0,the drawing of the three,stephen king,eng,,4.23,139052,nonfiction,2539.24,1523.544,1.99,82,harpercollins publishers,1276,,,,
82,2008.0,the forgotten garden,kate morton,en-gb,,4.12,138377,genre fiction,4907.7,0.0,3.99,85,"amazon digital services,  inc.",1230,,,,
84,2002.0,this lullaby,sarah dessen,eng,,4.03,151829,genre fiction,2417.85,1450.71,1.99,86,harpercollins publishers,1215,,,,
85,2000.0,plain truth,jodi picoult,eng,,3.97,128406,genre fiction,1188.0,0.0,0.99,87,"amazon digital services,  inc.",1200,,,,
86,2010.0,orange is the new black: my year in a women's prison,piper kerman,eng,,3.7,127186,fiction,2388.0,0.0,1.99,87,"amazon digital services,  inc.",1200,,,,
87,1902.0,the hound of the baskervilles,"arthur conan doyle, anne perry",eng,,4.09,154517,genre fiction,2356.16,1413.696,1.99,88,macmillan,1184,,,,
88,2011.0,"thinking, fast and slow",daniel kahneman,eng,,4.08,136950,genre fiction,1157.31,694.386,0.99,89,"amazon digital services,  inc.",1169,,,,
89,1982.0,the mists of avalon,marion zimmer bradley,eng,,4.12,157736,genre fiction,1157.31,694.386,0.99,89,"amazon digital services,  inc.",1169,,,,
90,1970.0,"are you there god? it's me, margaret",judy blume,eng,,3.89,151789,genre fiction,1111.77,0.0,0.99,92,"amazon digital services,  inc.",1123,,,,
91,2002.0,nights in rodanthe,nicholas sparks,eng,,3.82,129807,genre fiction,5603.77,3362.262,4.99,92,"amazon digital services,  inc.",1123,,,,
92,2014.0,mr. mercedes,stephen king,eng,,3.92,125847,genre fiction,2202.93,1321.758,1.99,93,macmillan,1107,,,,
93,2007.0,all together dead,charlaine harris,eng,,4.05,162689,genre fiction,6983.24,4189.944,6.49,95,random house llc,1076,,,,
94,1997.0,midwives,chris bohjalian,en-us,,3.97,133155,genre fiction,6885.89,4131.534,6.49,96,random house llc,1061,,,,
95,1985.0,the polar express,chris van allsburg,en-us,,4.29,168001,nonfiction,1035.54,621.324,0.99,97,"amazon digital services,  inc.",1046,,,,
96,1989.0,the true story of the three little pigs,"jon scieszka, lane smith",en-gb,,4.29,141945,genre fiction,1019.7,0.0,0.99,98,"amazon digital services,  inc.",1030,,,,
97,1987.0,patriot games,tom clancy,eng,,4.11,141674,genre fiction,6079.85,0.0,5.99,99,"amazon digital services,  inc.",1015,,,,
98,1998.0,veronika decide morrer,"paulo coelho, margaret jull costa",eng,,3.69,111856,genre fiction,6932.45,4159.47,6.83,99,penguin group (usa) llc,1015,,,,
99,2013.0,"lean in: women, work, and the will to lead","sheryl sandberg, nell scovell",eng,,3.94,135635,genre fiction,985.05,0.0,0.99,101,"amazon digital services,  inc.",995,,,,
100,2005.0,dead as a doornail,charlaine harris,eng,,4.01,169560,genre fiction,5068.8,3041.28,5.12,102,penguin group (usa) llc,990,,,,
101,2011.0,"shatter me (shatter me, #1)",tahereh mafi,en-us,,4.01,176433,fiction,2195.2,1317.12,2.24,104,"amazon digital services,  inc.",980,,,,
102,1959.0,starship troopers,robert a. heinlein,en-ca,,3.99,136886,genre fiction,7312.5,4387.5,7.5,105,hachette book group,975,,,,
103,2011.0,i've got your number,sophie kinsella,eng,,3.93,144533,genre fiction,960.3,0.0,0.99,106,"amazon digital services,  inc.",970,,,,
105,2011.0,unknown,mark cotta vaz,eng,,4.3,188136,genre fiction,7670.4,4602.24,7.99,108,penguin group (usa) llc,960,,,,
106,1950.0,the martian chronicles,ray bradbury,en-us,,4.12,143236,genre fiction,1880.55,0.0,1.99,111,"amazon digital services,  inc.",945,,,,
107,2010.0,a visit from the goon squad,jennifer egan,eng,,3.64,120126,genre fiction,4690.6,2814.36,4.99,112,macmillan,940,,,,
108,1880.0,heidi,"johanna spyri, angelo  rinaldi, beverly cleary",eng,,3.97,144497,genre fiction,3730.65,2238.39,3.99,113,penguin group (usa) llc,935,,,,
109,2002.0,prey,michael crichton,unknown,,3.72,131352,genre fiction,1850.7,0.0,1.99,114,"amazon digital services,  inc.",930,,,,
110,1956.0,the last battle,c.s. lewis,eng,,4.02,158701,genre fiction,5980.0,3588.0,6.5,116,"amazon digital services,  inc.",920,,,,
111,2007.0,world without end,ken follett,eng,,4.23,128715,genre fiction,905.85,543.51,0.99,117,random house llc,915,,,,
112,2008.0,chosen: a house of night novel,"p.c. cast, kristin cast",en-us,,3.9,180961,fiction,7759.2,4655.52,8.48,117,"amazon digital services,  inc.",915,,,,
113,2012.0,slammed,colleen hoover,eng,,4.29,153882,genre fiction,900.9,0.0,0.99,118,"amazon digital services,  inc.",910,,,,
114,2007.0,"beastly (beastly, #1, kendra chronicles, #1)",alex flinn,eng,,3.84,150003,genre fiction,895.95,537.57,0.99,119,"amazon digital services,  inc.",905,,,,
