index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format,book_age,decade,average_rating_bin,log_ratings_count,price_category,revenue_per_unit,inv_sales_rank,genre_code,publisher_code,language_code_code,author_name_length,author_book_count,book_name_word_count,publisher_book_count,publisher_total_units
0,1975.0,beowulf,"unknown, seamus heaney",en-us,unknown,3.42,155903,genre fiction,34160.0,20496.0,4.88,1,harpercollins publishers,7000,,,,,50.0,1970.0,medium,11.95699571218946,cheap,2.928,0.5,2,3,2,22,1,1,67,552896
1,1987.0,batman: year one,"frank miller, david mazzucchelli, richmond lewis, dennis o'neil",eng,unknown,4.23,145267,genre fiction,12437.5,7462.5,1.99,2,harpercollins publishers,6250,,,,,38.0,1980.0,high,11.886335591304682,cheap,1.194,0.3333333333333333,2,3,3,63,1,3,67,552896
2,2015.0,go set a watchman,harper lee,eng,unknown,3.31,138669,genre fiction,47795.0,28677.0,8.69,3,"amazon digital services,  inc.",5500,,,,,10.0,2010.0,medium,11.83985228874791,cheap,5.214,0.25,2,0,3,10,1,4,565,5611696
3,2008.0,when you are engulfed in flames,david sedaris,en-us,unknown,4.04,150898,fiction,41250.0,24750.0,7.5,3,hachette book group,5500,,,,,17.0,2000.0,high,11.924366017828747,cheap,4.5,0.25,1,1,2,13,3,6,60,535636
4,2011.0,daughter of smoke & bone,laini taylor,eng,unknown,4.04,198283,genre fiction,37952.5,22771.5,7.99,4,penguin group (usa) llc,4750,,,,,14.0,2010.0,high,12.197455625423059,cheap,4.794,0.2,2,6,3,12,2,5,102,889115
5,2015.0,red queen,victoria aveyard,eng,unknown,4.08,83354,genre fiction,19960.0,0.0,4.99,5,"amazon digital services,  inc.",4000,,,,,10.0,2010.0,high,11.330863874382132,cheap,0.0,0.16666666666666666,2,0,3,16,1,2,565,5611696
6,2011.0,the power of habit,charles duhigg,eng,unknown,4.03,155977,genre fiction,27491.67,16495.002,6.99,6,harpercollins publishers,3933,,,,,14.0,2010.0,high,11.957470250645597,cheap,4.194,0.14285714285714285,2,3,3,14,1,4,67,552896
7,1994.0,midnight in the garden of good and evil,john berendt,eng,unknown,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,hachette book group,3800,,,,,31.0,1990.0,medium,12.03170735355263,cheap,4.134,0.1111111111111111,3,1,3,12,1,8,60,535636
8,2012.0,hopeless,colleen hoover,eng,unknown,4.34,189938,genre fiction,26093.67,15656.202,6.99,9,harpercollins publishers,3733,,,,,13.0,2010.0,high,12.154458246962614,cheap,4.194,0.1,2,3,3,14,7,1,67,552896
9,1905.0,a little princess,"frances hodgson burnett, nancy bond",eng,unknown,4.2,199872,genre fiction,23792.34,14275.404,6.49,10,random house llc,3666,,,,,120.0,1900.0,high,12.205437443832285,cheap,3.894,0.09090909090909091,2,7,3,35,1,3,117,1267818
10,2004.0,the truth about forever,sarah dessen,en-us,unknown,4.13,179415,genre fiction,17964.0,0.0,4.99,11,"amazon digital services,  inc.",3600,,,,,21.0,2000.0,high,12.097462410806125,cheap,0.0,0.08333333333333333,2,0,2,12,5,4,565,5611696
11,1954.0,the horse and his boy,c.s. lewis,eng,unknown,3.9,189671,fiction,21564.0,12938.4,5.99,11,penguin group (usa) llc,3600,,,,,71.0,1950.0,medium,12.153051543552921,cheap,3.594,0.08333333333333333,1,6,3,10,3,5,102,889115
12,2010.0,last sacrifice,richelle mead,eng,unknown,4.42,206792,genre fiction,3431.34,0.0,0.99,13,"amazon digital services,  inc.",3466,,,,,15.0,2010.0,high,12.239473571913923,cheap,0.0,0.07142857142857142,2,0,3,13,3,2,565,5611696
13,1935.0,little house on the prairie,"laura ingalls wilder, garth williams",eng,unknown,4.18,195424,genre fiction,6897.34,4138.404,1.99,13,harpercollins publishers,3466,,,,,90.0,1930.0,high,12.18293195308853,cheap,1.1940000000000002,0.07142857142857142,2,3,3,36,4,5,67,552896
14,1922.0,the velveteen rabbit,"margery williams bianco, william   nicholson",eng,unknown,4.29,173469,genre fiction,21797.82,13078.692,6.54,15,random house llc,3333,,,,,103.0,1920.0,high,12.063759952755454,cheap,3.924,0.0625,2,7,3,44,1,3,117,1267818
15,1974.0,zen and the art of motorcycle maintenance,robert m. pirsig,eng,unknown,3.76,139411,genre fiction,16297.34,0.0,4.99,16,"amazon digital services,  inc.",3266,,,,,51.0,1970.0,medium,11.845188856817387,cheap,0.0,0.058823529411764705,2,0,3,16,1,7,565,5611696
16,1897.0,the war of the worlds,"h.g. wells, arthur c. clarke",eng,unknown,3.8,159752,genre fiction,15968.0,0.0,4.99,17,"amazon digital services,  inc.",3200,,,,,128.0,1890.0,medium,11.981384151406175,cheap,0.0,0.05555555555555555,2,0,3,28,1,5,565,5611696
17,2006.0,pretty little liars,sara shepard,en-us,unknown,3.9,156328,genre fiction,15968.0,0.0,4.99,17,"amazon digital services,  inc.",3200,,,,,19.0,2000.0,medium,11.959718039826035,cheap,0.0,0.05555555555555555,2,0,2,12,1,3,565,5611696
